title,overview,genres,tagline,popularity,release_date,id
The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",A story as EXPLOSIVE as his BLAZING automatics!,5.782544,11/18/41,963
My Fair Lady,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",The loverliest motion picture of them all!,12.494394,10/21/64,11113
Sabrina,"Linus and David Larrabee are the two sons of a very wealthy family. Linus is all work -- busily running the family corporate empire, he has no time for a wife and family. David is all play -- technically he is employed by the family business, but never shows up for work, spends all his time entertaining, and has been married and divorced three times. Meanwhile, Sabrina Fairchild is the young, shy, and awkward daughter of the household chauffeur, who has been infatuated with David all her life, but David hardly notices her -- ""doesn't even know I exist"" -- until she goes away to Paris for two years, and returns an elegant, sophisticated, beautiful woman. Suddenly, she finds that she has captured David's attention, but just as she does so, she finds herself falling in love with Linus, and she finds that Linus is also falling in love with her.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",...the chauffeur's daughter who learned her stuff in Paris,7.359741,9/28/54,6620
Roman Holiday,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Romance in romantic Rome!,11.954806,9/2/53,804
The Little Princess,The classic Shirley Temple film in which a little girl goes in search of her father who is reported missing by the military during World War I.,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",A great classic comes to life in glorious Technicolor!,5.640722,3/17/39,26531
Meet Me in St. Louis,"In the year before the 1904 St Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.","[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",M·G·M's glorious love story with music!,7.331511,11/23/44,909
The Wizard of Oz,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","We're off to see the Wizard, the wonderful Wizard of Oz!",22.064932,8/15/39,630
Gone with the Wind,An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",The greatest romance of all time!,14.240357,12/15/39,770
My Favorite Year,"Benjy Stone is the junior writer on the top rated variety/comedy show, in the mid 50s (the early years). Alan Swann, an Erol Flynn type actor with a drinking problem is to be that weeks guest star.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,2.923672,10/1/82,31044
Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent-film star who has faded into Hollywood obscurity.,"[{'id': 18, 'name': 'Drama'}]",A Hollywood Story,11.709777,8/10/50,599
Citizen Kane,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.","[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",It's Terrific!,15.811921,4/30/41,15
2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","[{'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",An epic drama of adventure and exploration,22.494622,4/10/68,62
Golden Earrings,A British colonel (Ray Milland) escapes from the Gestapo to the Black Forest and poses as a Gypsy's (Marlene Dietrich) mate.,"[{'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",Strange . . . Amazing . . . Their Love Story !,0.949155,8/27/47,121357
All About Eve,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.","[{'id': 18, 'name': 'Drama'}]",It's all about women... and their men!,12.06308,11/9/50,705
The Women,"Wealthy Mary Haines is unaware her husband is having an affair with shopgirl Crystal Allen. Sylvia Fowler and Edith Potter discover this from a manicurist and arrange for Mary to hear the gossip. On the train taking her to a Reno divorce Mary meets the Countess and Miriam (in an affair with Fowler's husband). While they are at Lucy's dude ranch, Fowler arrives for her own divorce and the Countess meets fifth husband-to-be Buck. Back in New York, Mary's ex is now unhappily married to Crystal who is already in an affair with Buck.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",It's all about men!,5.076649,1/1/39,22490
Rebecca,A self-conscious bride is tormented by the memory of her husband's dead first wife.,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",The shadow of this woman darkened their love.,8.590813,4/12/40,223
Foreign Correspondent,"The European war was only beginning to erupt across national borders. Its titular hero, Johnny Jones, is an American crime reporter dispatched by his New York publisher to put a fresh spin on the drowsy dispatches emanating from overseas, his nose for a good story promptly leading him to the crime of fascism and Nazi Germany's designs on European conquest In attempting to learn more about a seemingly noble peace effort, Jones who walks into the middle of an assassination, uncovers a spy ring, and, not entirely coincidentally, falls in love.","[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",The thrill spectacle of the year!,9.955445,8/16/40,25670
Notorious,"Released shortly after the war, this classic Hitchcock film illustrates the battle between German Nazis and American spies in Rio de Janeiro where a German businessman keeps a wine cellar with uranium ore.","[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Notorious woman of affairs... Adventurous man of the world,10.135111,8/15/46,303
Spellbound,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.","[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",The maddest love that ever possessed a woman.,5.47596,12/28/45,4174
An Affair to Remember,"Nickie Ferrante's return to New York to marry a rich heiress is well publicized as are his many antics and affairs. He meets a nightclub singer Terry McKay who is also on her way home to her longtime boyfriend. She sees him as just another playboy and he sees her as stand-offish but over several days they soon find they've fallen in love. Nickie has never really worked in his life so they agree that they will meet again in six months time atop the Empire State building. This will give them time to deal with their current relationships and for Nickie to see if he can actually earn a living. He returns to painting and is reasonably successful. On the agreed date, Nickie is waiting patiently for Terry who is racing to join him. Fate intervenes however resulting in misunderstanding and heartbreak and only fate can save their relationship.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",In Italy... on the Mediterranean... across an ocean... and all over New York!,9.813419,7/11/57,8356
To Catch a Thief,A delightful Hitchcock film about an ex-burglar who must catch a thief who’s been copying this style before he gets accused of the wrong crimes. His time is running out as the police are close behind him yet he finds time for a little romance of course. A classic masterpiece starring Grace Kelly and Cary Grant.,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",WANTED by the police in all the luxury-spots of Europe!... A catch for any woman!,5.490505,8/3/55,381
Father of the Bride,"Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",You're invited . . . to a hilarious wedding !,2.469167,6/16/50,20758
The Band Wagon,A pretentiously artistic director is hired for a new Broadway musical and changes it beyond recognition.,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]",Get Aboard!,3.573935,8/7/53,29376
Ninotchka,A stern Russian woman sent to Paris on official business finds herself attracted to a man who represents everything she is supposed to detest.,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Greta Garbo laughs!,5.120036,10/6/39,1859
Love in the Afternoon,Lovestruck conservatory student Adriane pretends to be just as much as a cosmopolitan lover as the worldly mature Frank Flannag hoping that l’amour will take hold.,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Love is a game any number can play... especially in the afternoon...,8.196679,6/30/57,18299
Gigi,"A home, a motorcar, servants, the latest fashions: the most eligible and most finicky bachelor (Louis Jourdan) in Paris offers them all to Gigi (Leslie Caron). But she, who's gone from girlish gawkishness to cultured glamour before our eyes, yearns for that wonderful something money can't buy.","[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",Thank heaven for Gigi,10.36311,4/15/58,17281
The Reluctant Debutante,"Jimmy and Sheila Broadbent (Rex Harrison and Kay Kendall), welcome to London Jimmy's 17-year-old daughter, Jane (Sandra Dee). Jane is from Jimmy's first marriage to an American and has come to visit her father and the step-mother she has never met. While visiting Sheila has the idea of making Jane a debutante, an idea Jane resists. Difficulties range from Jane's apathy to being placed on the marriage block, the determined efforts of Sheila's cousin, Mabel Claremont, (Angela Lansbury) to win wealthy David Fenner (Peter Myers) for her debutante daughter Clarissa (Diane Clare), and Jane's attraction to David Parkson (John Saxon), an American drummer who plays in the orchestra at the coming-out balls.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",MGM presents the Comedy-Romance in luscious COLOR!,1.954175,1/1/58,64382
The Adventures of Robin Hood,Robin Hood (Errol Flynn) fights nobly for justice against the evil Sir Guy of Gisbourne (Basil Rathbone) while striving to win the hand of the beautiful Maid Marian (Olivia de Havilland).,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10749, 'name': 'Romance'}]",Excitement...Danger...Suspense...as this classic adventure story sweeps across the screen!,10.685036,5/13/38,10907
The Mark of Zorro,"Around 1820 the son of a California nobleman comes home from Spain to find his native land under a villainous dictatorship. On the one hand he plays the useless fop, while on the other he is the masked avenger Zorro.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",,7.431939,11/8/40,32093
Laura,A police detective falls in love with the woman whose murder he's investigating.,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",The story of a love that became the most fearful thing that ever happened to a woman!,9.884516,10/11/44,1939
The Ghost and Mrs. Muir,"In 1900, strong-willed widow Lucy Muir goes to live in Gull Cottage by the British seaside, even though it appears to be haunted. Sure enough, that very night she meets the ghost of crusty former owner Captain Gregg...and refuses to be scared off. Indeed, they become friends and allies, after Lucy gets used to the idea of a man's ghost haunting her bedroom. But when a charming live man comes courting, Lucy and the captain must deal with their feelings for each other.","[{'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 9648, 'name': 'Mystery'}]",THE SPIRIT... so willing! THE FLESH... so weak! THE ROMANCE... so wonderful!,3.008607,6/26/47,22292
Lost Horizon,"British diplomat Robert Conway and a small group of civilians crash land in the Himalayas, and are rescued by the people of the mysterious, Eden-like valley of Shangri-la. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-la provides a seductive escape for the world-weary Conway.","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",At Last ! . . . The Masterpiece Of America's Foremost Film Genius Blazes To The Screen !,3.166544,9/1/37,3598
Top Hat,"Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.","[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",They're Dancing Cheek-To-Cheek Again!,7.122093,9/6/35,3080
To Be or Not to Be,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",,7.274948,3/5/42,198
My Man Godfrey,A zany heiress tries to help a tramp by making him the family butler.,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",,5.480098,9/17/36,13562
Giant,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",The legendary epic that's as big as Texas.,10.864284,10/10/56,1712
East of Eden,"In the Salinas Valley, in and around World War I, Cal Trask feels he must compete against overwhelming odds with his brother Aron for the love of their father Adam. Cal is frustrated at every turn, from his reaction to the war, to how to get ahead in business and in life, to how to relate to estranged mother.","[{'id': 18, 'name': 'Drama'}]",Of what a girl did . . . what a boy did ... of ecstasy and revenge!,6.42883,3/9/55,220
The Thin Man,"After a four year absence, one time detective Nick Charles returns to New York with his new wife Nora and their dog, Asta. Nick re-connects with many of his old cronies, several of whom are eccentric characters, to say the least. He's also approached by Dorothy Wynant whose inventor father Clyde Wynant is suspected of murdering her step-mother. Her father had left on a planned trip some months before and she has had no contact with him. Nick isn't all that keen on resuming his former profession but egged-on by wife Nora, who thinks this all very exciting, he agrees to help out. He solves the case, announcing the identity of the killer at a dinner party for all of the suspects.","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",A laugh tops every thrilling moment!,10.573867,5/25/34,3529
His Girl Friday,"Hildy, the journalist former wife of newspaper editor Walter Burns, visits his office to inform him that she's engaged and will be getting remarried the next day. Walter can't let that happen and frames the fiancé, Bruce Baldwin, for one thing after another, to keep him temporarily held in prison, while trying to steer Hildy into returning to her old job as his employee.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",She learned about men from him!,9.88321,1/18/40,3085
Around the World in Eighty Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.","[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]","It's a wonderful world, if you'll only take the time to go around it!",6.164226,10/17/56,2897
It's a Wonderful Life,"George Bailey has spent his entire life giving of himself to the people of Bedford Falls. He has always longed to travel but never had the opportunity in order to prevent rich skinflint Mr. Potter from taking over the entire town. All that prevents him from doing so is George's modest building and loan company, which was founded by his generous father. But on Christmas Eve, George's Uncle Billy loses the business's $8,000 while intending to deposit it in the bank. Potter finds the misplaced money, hides it from Billy, and George's troubles begin.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",It's a wonderful laugh! It's a wonderful love!,15.031588,12/20/46,1585
Mr. Smith Goes to Washington,"Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed on a lark by the spineless governor of his state. He is reunited with the state's senior senator--presidential hopeful and childhood hero, Senator Joseph Paine. In Washington, however, Smith discovers many of the shortcomings of the political process as his earnest goal of a national boys' camp leads to a conflict with the state political boss, Jim Taylor. Taylor first tries to corrupt Smith and then later attempts to destroy Smith through a scandal.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]","Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!",8.168694,10/19/39,3083
Bringing Up Baby,"David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances, he meets Susan Vance, and the duo have a series of misadventures which include a leopard called Baby.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","And so begins the hilarious adventure of Professor David Huxley and Miss Susan Vance, a flutter-brained vixen with love in her heart!",6.60577,2/18/38,900
Penny Serenade,"A light-hearted romantic drama starring Cary Grant &amp; Irene Dunne as a couple who meet, fall in love, quarrel and reunite. While listening to a recording of ""Penny Serenade"", Julie Gardiner Adams (Irene Dunne) begins reflecting on her past. She recalls her impulsive marriage to newspaper reporter Roger Adams (Carey Grant), which begins on a deliriously happy note but turns out to be fraught with tragedy. Other songs remind her of their courtship, their marriage, their desire for a child, and the joys and sorrows they have shared. A flood of memories come back to her as she ponders on their present problems and how they arose.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","""Remember the tune they were singing the night we fell in love?...""",2.446972,4/24/41,43795
The Scarlet Letter,"In Puritan Boston, seamstress Hester Prynne is punished for playing on the Sabbath day; but kindly minister Arthur Dimmesdale takes pity on her. The two fall in love, but their relationship cannot be: Hester is already married to Roger Prynne, a physician who has been missing seven years. Dimmesdale has to go away to England; when he returns, he finds Hester pregnant with their child, and the focus of the town's censure. In a humiliating public ceremony, she is forced to don the scarlet letter A - for adultery - and wear it the rest of her life.","[{'id': 18, 'name': 'Drama'}]",,0.284522,8/9/26,85638
Lady of Burlesque,"After one member of their group is murdered, the performers at a burlesque house must work together to find out who the killer is before they strike again.","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",Mirth! Murder! Melody! Mystery! and Girls! Girls! Girls!,0.264695,6/1/43,50001
Of Human Bondage,"Club-footed medical school student Philip Carey falls in love with cynical waitress Mildred Rogers. She rejects him and runs off with a salesman, later returning pregnant and unmarried. Philip takes her in, though a ""happily ever after"" ending is not to be.","[{'id': 18, 'name': 'Drama'}]",The Love That Lifted a Man to Paradise......and Hurled Him Back to Earth Again,1.831221,7/20/34,43905
Angel on My Shoulder,"Gangster Eddie Kagel is killed by a trusted lieutenant and finds himself in Harry Redmond Jr's special effects Hell, where Nick/The Devil sees that he is an-exact double for a judge of whom Nick doesn't approve. Eddie is agreeable to having his soul transferred to the judge's body, as it will give him a chance to avenge himself on his killer. But every action taken by Eddie (as the judge) results in good rather than evil and, to Nick's dismay, the reputation and influence of the judge is enhanced, rather than impaired by Eddie. And Eddie also falls in love with the judge's fiancée, Barbara. Even Eddie's planned revenge fails and Nick is forced to concede defeat. He returns to Hell, taking Eddie with him, after Eddie has extracted his promise that Nick will not molest the judge or Barbara in the future.","[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",With an ANGEL on his shoulder... And the DEVIL in his heart!,0.594433,9/20/46,22688
Little Lord Fauntleroy,"An American boy turns out to be the heir of a wealthy British earl. He is sent to live with the irritable and unsentimental aristocrat, his grandfather.","[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",,4.709847,3/6/36,23114
They Made Me a Criminal,"A boxer flees, believing he has committed a murder while he was drunk.","[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",Sensational Human Drama!,1.758391,1/28/39,26378
The Inspector General,"An illiterate stooge in a traveling medicine show wanders into a strange town and is picked up on a vagrancy charge. The town's corrupt officials mistake him for the inspector general whom they think is traveling in disguise. Fearing he will discover they've been pocketing tax money, they make several bungled attempts to kill him.","[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",A new comedy kayo from Warner Bros.,0.896505,12/31/49,40206
Angel and the Badman,"Notorious shootist and womanizer Quirt Evans' horse collapses as he passes a Quaker family's home. Quirt has been wounded, and the kindly family takes him in to nurse him back to health against the advice of others. The handsome Evans quickly attracts the affections of their beautiful daughter, Penelope. He develops an affection for the family, but his troubled past follows him.","[{'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]",He lived only for revenge...She lived only for his love!,8.08426,2/15/47,22356
The 39 Steps,"While on vacation in London, Canadian Richard Hannay becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith, who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan from sending secrets out of the country. Hannay is assisted by Pamela, an unwilling accomplice who discovers the truth.","[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",Handcuffed to the girl who double-crossed him,5.865697,6/1/35,260
A Walk in the Sun,"In the 1943 invasion of Italy, one American platoon lands, digs in, then makes its way inland to attempt to take a fortified farmhouse, as tension and casualties mount. Unusually realistic picture of war as long quiet stretches of talk, punctuated by sharp, random bursts of violent action whose relevance to the big picture is often unknown to the soldiers.","[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]",THEY FOUGHT BEST WHEN IT WAS HOPELESS!,8.85591,12/25/45,43488
The Outlaw,"Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl, Rio's, place after Billy is shot.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",Tall.... Terrific.... and Trouble!,1.450989,2/5/43,22613
Night of the Living Dead,"A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse. Although not the first zombie film, Night of the Living Dead is the progenitor of the contemporary ""zombie apocalypse"" horror film, and it greatly influenced the modern pop-culture zombie archetype.","[{'id': 27, 'name': 'Horror'}]","If it doesn't scare you, you're already dead!",14.384198,10/1/68,10331
The African Queen,"At the start of the first World War, in the middle of Africa’s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship.","[{'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}, {'id': 10749, 'name': 'Romance'}]",The greatest adventure a man ever lived...with a woman!,6.636872,12/3/51,488
Beat the Devil,"The script, which was written on a day-to-day basis as the film was being shot, concerns the adventures of a motley crew of swindlers and ne'er-do-wells trying to lay claim to land rich in uranium deposits in Kenya as they wait in a small Italian port to travel aboard an ill-fated tramp steamer en route to Mombasa.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",They're Out To Beat the Devil At His Own Game!,2.001733,11/24/53,22733
Cat on a Hot Tin Roof,"Brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, Maggie. His reunion with his father, Big Daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Just one pillow on her bed ... and just one desire in her heart!,11.794846,2/17/58,261
The Last Time I Saw Paris,"Charles returns to Paris to reminisce about the life he led in Paris after it was liberated. He worked on ""Stars and Stripes"" when he met Marion and Helen. He would marry and be happy staying in Paris after his discharge and working for a news organization. He would try to write his great novel and that would come between Charlie, his wife and his daughter","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",The sensational story of youth on a fling,0.912955,1/1/54,57575
Meet John Doe,"As a parting shot, fired reporter Ann Mitchell prints a fake letter from unemployed ""John Doe,"" who threatens suicide in protest of social ills. The paper is forced to rehire Ann and hires John Willoughby to impersonate ""Doe."" Ann and her bosses cynically milk the story for all it's worth, until the made-up ""John Doe"" philosophy starts a whole political movement.","[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]","ALL AMERICA WANTS TO MEET THE ""MR. DEEDS"" OF 1941!",10.750619,3/12/41,32574
Algiers,"Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko became a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby , which arouses the jealousy of Ines","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]","You've Got A Date With Danger, A Rendezvous With Romance In The Glamorous, Mysterious Algiers . . Make A Date Now !",0.348765,6/28/38,22657
Something to Sing About,James Cagney has a rare chance to show his song-and-dance-man roots in this low-budget tale of a New York bandleader struggling with a Hollywood studio boss.,"[{'id': 35, 'name': 'Comedy'}]",A Cagney you have never seen!,0.367546,9/30/37,76464
A Farewell to Arms,"British nurse Catherine Barkley (Helen Hayes) and American Lieutenant Frederic Henry (Gary Cooper) fall in love during the First World War in Italy. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each, as the war rages on. Academy Awards winner for Best Cinematography and for Best Sound, Recording. Nominated for Best Picture and for Best Art Direction.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",Every woman who has loved will understand,1.914697,12/8/32,22649
Moonlight Murder,An amateur detective gets a chance to test his sleuthing skills when an opera singer is murdered at the Hollywood Bowl.,"[{'id': 10402, 'name': 'Music'}, {'id': 9648, 'name': 'Mystery'}]","20,000 eyes looked - and no one saw!",0.283269,3/27/36,176841
Nothing Personal,"A raw depiction of the Belfast 'troubles' as savage tribal warfare. Set shortly after the 1975 cease fire, the film focuses on the tribulations of Kenny, Protestant leader of a group of Shankill Road Loyalists, and his one-time friend Liam, a Catholic.","[{'id': 18, 'name': 'Drama'}]",,0.064512,10/18/96,125587
"Yes, Madam","Asprin (Mang Hoi) and Strepsil (John Shum), two petty thieves who inadvertently become involved in a murder case when they steal items belonging to a murdered man. The man had hidden an important microfilm in his passport, which the thieves pass onto a forger friend Panadol (Tsui Hark). Inspector Ng (Michelle Yeoh) is assigned to the case, along with Inspector Morris (Cynthia Rothrock) from Scotland Yard! The investigation leads the cops to the bumbling crooks and soon they are on Triad leader Tin's (James Tien) tail, he will stop at nothing to get the incriminating film back and with his hitman and bodyguard (Dick Wei) at his side, he proves too much for the inspectors to catch using legal means, in frustration they give up their badges and go after Tin alone.","[{'id': 28, 'name': 'Action'}, {'id': 10769, 'name': 'Foreign'}]",,1.060097,1/1/85,39448
